player,matches_2plus_overs,total_wickets,total_balls,total_runs,bowling_avg,economy,wickets_per_match,milestone_100_wickets,bowling_elo
MJ Henry,25,31,559,805,25.967741935483872,8.640429338103756,1.24,False,1515.4680911680916
MJ Humphreys,5,6,111,114,19.0,6.162162162162162,1.2,False,1505.3433333333332
MJ Johnston,5,3,85,113,37.666666666666664,7.976470588235294,0.6,False,1488.9555555555557
MJ Mason,3,2,58,66,33.0,6.8275862068965525,0.6666666666666666,False,1496.095238095238
MJ McClenaghan,117,137,2775,3786,27.635036496350367,8.185945945945946,1.170940170940171,True,1507.7316541057926
MJ North,3,1,48,46,46.0,5.75,0.3333333333333333,False,1491.5833333333333
MJ Owen,10,12,175,269,22.416666666666668,9.222857142857142,1.2,False,1499.1794871794873
MJ Potts,3,2,70,100,50.0,8.571428571428571,0.6666666666666666,False,1494.7575757575758
MJ Ross,3,2,42,53,26.5,7.571428571428571,0.6666666666666666,False,1495.0
MJ Santner,155,178,3442,3884,21.820224719101123,6.770482277745497,1.1483870967741936,True,1536.1576548750004
MJ Suthar,2,0,30,50,,10.0,0.0,False,1490.0
MJ Swepson,88,88,1927,2461,27.96590909090909,7.662688116242864,1.0,False,1460.4887558640191
MJG Rippon,12,18,248,274,15.222222222222221,6.629032258064516,1.5,False,1514.6406882591095
MJJ Critchley,1,2,24,34,17.0,8.5,2.0,False,1504.6666666666667
MJM Kavana,3,6,74,86,14.333333333333334,6.972972972972973,2.0,False,1510.1200000000001
MK Anafie,5,6,87,92,15.333333333333334,6.344827586206897,1.2,False,1506.0906432748538
MK Lomror,11,4,169,181,45.25,6.426035502958579,0.36363636363636365,False,1468.6604395604397
MK Mahale,1,0,18,39,,13.0,0.0,False,1495.0
MK Thakur,17,20,388,364,18.2,5.628865979381443,1.1764705882352942,False,1501.3556821541035
MK Tiwary,16,13,277,364,28.0,7.884476534296029,0.8125,False,1476.934865900383
ML Bojang,4,2,94,79,39.5,5.042553191489362,0.5,False,1493.1876190476194
ML Castillo,8,15,187,184,12.266666666666667,5.903743315508021,1.875,False,1511.2242857142858
ML Cummins,3,2,57,70,35.0,7.368421052631579,0.6666666666666666,False,1495.111111111111
ML Kostic,4,3,77,158,52.666666666666664,12.311688311688311,0.75,False,1490.64
ML Lewis,2,4,45,50,12.5,6.666666666666667,2.0,False,1509.8333333333333
MM Ali,125,123,2254,2794,22.715447154471544,7.437444543034605,0.984,True,1430.5461448493036
MM Baig,3,3,50,44,14.666666666666666,5.279999999999999,1.0,False,1501.9285714285713
MM Iqbal,1,2,24,17,8.5,4.25,2.0,False,1505.0
MM Patel,73,89,1614,1997,22.43820224719101,7.4237918215613385,1.2191780821917808,False,1508.5370830923464
MM Sarwar,1,1,12,15,15.0,7.5,1.0,False,1500.0
MM Sharma,135,161,2883,4077,25.322981366459626,8.484911550468262,1.1925925925925926,True,1477.4210024770553
MM Siddique,2,3,41,29,9.666666666666666,4.2439024390243905,1.5,False,1506.4565217391305
MMR Obili,7,5,150,178,35.6,7.12,0.7142857142857143,False,1490.9871794871794
MN Samuels,62,62,1237,1457,23.5,7.06709781729992,1.0,False,1477.5695198368885
MN Waller,2,0,24,38,,9.5,0.0,False,1490.0
MNM Aslam,60,72,1316,1320,18.333333333333332,6.018237082066869,1.2,False,1524.1217633828167
MNR Cooray,4,3,87,96,32.0,6.620689655172414,0.75,False,1495.7566666666667
MO Bacarese,2,1,49,32,32.0,3.918367346938776,0.5,False,1497.39
MO Jones,11,14,256,220,15.714285714285714,5.15625,1.2727272727272727,False,1508.767273954116
MO Kain,1,0,24,38,,9.5,0.0,False,1495.0
